iterations,glo_lr,glo_weight_decay,glo_net_decay,glo_network_lr
10000,1.00E-02,1.00E-01,1.00E-06,5.00E-05
10000,1.00E-03,1.00E-01,1.00E-06,5.00E-05
10000,1.00E-04,1.00E-01,1.00E-06,5.00E-05
10000,1.00E-05,1.00E-01,1.00E-06,5.00E-05
10000,1.00E-05,1.00E-01,1.00E-06,1.00E-05
10000,1.00E-05,1.00E-01,1.00E-06,1.00E-04
10000,1.00E-05,1.00E+00,1.00E-06,5.00E-05

