glo_lr,glo_net_decay,glo_network_lr,glo_weight_decay,gpu_id,iterations,output_folder,psnr,test_LPIPS,test_PSNR,test_SSIM
1.00E-03,1.00E-06,5.00E-05,1.00E-01,2,10000,output/i10000_gl1.00E-03_gwd1.00E-01_gnd1.00E-06_gnl5.00E-05,26.058689323947178,0.2086179107427597,26.15541648864746,0.8152096271514893
1.00E-04,1.00E-06,5.00E-05,1.00E-01,3,10000,output/i10000_gl1.00E-04_gwd1.00E-01_gnd1.00E-06_gnl5.00E-05,26.035981697806708,0.21067671477794647,26.068967819213867,0.8148719668388367
1.00E-02,1.00E-06,5.00E-05,1.00E-01,1,10000,output/i10000_gl1.00E-02_gwd1.00E-01_gnd1.00E-06_gnl5.00E-05,25.902284712405738,0.21008563041687012,26.099464416503906,0.8154521584510803
1.00E-05,1.00E-06,5.00E-05,1.00E-01,2,10000,output/i10000_gl1.00E-05_gwd1.00E-01_gnd1.00E-06_gnl5.00E-05,25.992270412059945,0.2106306403875351,26.03670310974121,0.8137745261192322
1.00E-05,1.00E-06,1.00E-05,1.00E-01,3,10000,output/i10000_gl1.00E-05_gwd1.00E-01_gnd1.00E-06_gnl1.00E-05,26.00222967512331,0.21092206239700317,26.006898880004883,0.8134298324584961
1.00E-05,1.00E-06,1.00E-04,1.00E-01,1,10000,output/i10000_gl1.00E-05_gwd1.00E-01_gnd1.00E-06_gnl1.00E-04,26.01807292462683,0.2102908492088318,26.030319213867188,0.8149738311767578
1.00E-05,1.00E-06,5.00E-05,1.00E+00,2,10000,output/i10000_gl1.00E-05_gwd1.00E+00_gnd1.00E-06_gnl5.00E-05,25.939709739126595,0.20747564733028412,26.047693252563477,0.8158595561981201
