psnr,encoding_lr,final_network_lr,test_PSNR,test_LPIPS,network_lr,vertices_lr,test_SSIM,gpu_id,final_vertices_lr,output_folder,final_encoding_lr
23.326031058678993,3.00E-04,3.00E-04,23.33844757080078,0.3861522674560547,3.00E-04,1.00E-04,0.6580789089202881,2,1.00E-08,output/vl1.00E-04_fvl1.00E-08_nl3.00E-04_fnl3.00E-04_el3.00E-04_fel3.00E-04,3.00E-04
23.241344902645494,3.00E-04,3.00E-04,23.379323959350586,0.38605210185050964,3.00E-04,1.00E-04,0.6592659950256348,1,2.50E-08,output/vl1.00E-04_fvl2.50E-08_nl3.00E-04_fnl3.00E-04_el3.00E-04_fel3.00E-04,3.00E-04
23.257682124778956,3.00E-04,3.00E-04,23.308765411376953,0.39131152629852295,3.00E-04,1.00E-04,0.6584047079086304,0,5.00E-08,output/vl1.00E-04_fvl5.00E-08_nl3.00E-04_fnl3.00E-04_el3.00E-04_fel3.00E-04,3.00E-04
