dataset_path,gpu_id,image_folder,output_folder,psnr,test_LPIPS,test_PSNR,test_SSIM,total_thresh,within_thresh
/optane/nerf_datasets/360/bonsai,2,images_2,output/bonsai_ifimages_2_wt2_tt2,31.51072202589666,0.27331361174583435,31.343229293823242,0.935165524482727,2,2
/optane/nerf_datasets/360/garden,1,images_4,output/garden_ifimages_4_wt2_tt2,26.788154463793745,0.18730418384075165,26.5115966796875,0.8318977952003479,2,2
/optane/nerf_datasets/360/bicycle,3,images_4,output/bicycle_ifimages_4_wt2_tt2,24.025774917943014,0.319768488407135,24.640430450439453,0.7278587222099304,2,2

/optane/nerf_datasets/360/garden,2,images_4,output/garden_ifimages_4_wt1.5_tt2,26.914872286841725,0.17635653913021088,26.677534103393555,0.8376331329345703,2,1.5
/optane/nerf_datasets/360/bonsai,1,images_2,output/bonsai_ifimages_2_wt1.5_tt2,31.655459791651815,0.25929850339889526,31.500049591064453,0.9379637241363525,2,1.5
/optane/nerf_datasets/360/bicycle,3,images_4,output/bicycle_ifimages_4_wt1.5_tt2,24.17329526884713,0.3049372732639313,24.74240493774414,0.7370055317878723,2,1.5

/optane/nerf_datasets/360/garden,2,images_4,output/garden_ifimages_4_wt2_tt1,26.804298013692957,0.1891099214553833,26.542306900024414,0.8312528133392334,1,2
/optane/nerf_datasets/360/bonsai,1,images_2,output/bonsai_ifimages_2_wt2_tt1,31.61322625181483,0.27375778555870056,31.37820053100586,0.9347356557846069,1,2
/optane/nerf_datasets/360/bicycle,3,images_4,output/bicycle_ifimages_4_wt2_tt1,24.117969620897608,0.32014045119285583,24.62512969970703,0.7273483872413635,1,2
/optane/nerf_datasets/360/bonsai,1,images_2,output/bonsai_ifimages_2_wt2_tt0.5,31.668098891875363,0.27188706398010254,31.425617218017578,0.9351150989532471,0.5,2
/optane/nerf_datasets/360/garden,2,images_4,output/garden_ifimages_4_wt2_tt0.5,26.87702123672663,0.18892066180706024,26.523910522460938,0.8317795395851135,0.5,2
/optane/nerf_datasets/360/bicycle,3,images_4,output/bicycle_ifimages_4_wt2_tt0.5,24.251834881574965,0.3206399083137512,24.62763214111328,0.7277102470397949,0.5,2

/optane/nerf_datasets/360/bonsai,2,images_2,output/bonsai_ifimages_2_wt1_tt2,31.6898539240262,0.25012609362602234,31.53921127319336,0.940085232257843,2,1
/optane/nerf_datasets/360/garden,1,images_4,output/garden_ifimages_4_wt1_tt2,26.936945140975762,0.15755176544189453,26.748571395874023,0.8448264598846436,2,1
/optane/nerf_datasets/360/bicycle,3,images_4,output/bicycle_ifimages_4_wt1_tt2,24.189340813379587,0.29427433013916016,24.800687789916992,0.7432721853256226,2,1
/optane/nerf_datasets/360/garden,2,images_4,output/garden_ifimages_4_wt0.5_tt2,26.00622833788073,0.20762133598327637,25.561050415039062,0.8131396174430847,2,0.5
/optane/nerf_datasets/360/bonsai,1,images_2,output/bonsai_ifimages_2_wt0.5_tt2,31.933318561941483,0.23323574662208557,31.615880966186523,0.9423166513442993,2,0.5
/optane/nerf_datasets/360/bicycle,3,images_4,output/bicycle_ifimages_4_wt0.5_tt2,23.93225785639732,0.2836182117462158,24.73584747314453,0.7471820116043091,2,0.5
