ckpt,dataset_path,feature_lr,final_feature_lr,final_fnetwork_lr,fnetwork_lr,freeze_start,gpu_id,iterations,output_folder,psnr,test_LPIPS,test_PSNR,test_SSIM
output/garden_r29_ld1e-4_dt0.1at0.1_denom1e-10_alphadist2_st5.5k_noglo/,/data/nerf_datasets/360/garden,1.00E-01,1.00E-02,1.00E-05,1.00E-04,0,0,8000,output/fl1.00E-01_ffl1.00E-02_fl1.00E-04_ffl1.00E-05_garden_i8000_fs0,26.75254751326161,0.16553880274295807,26.687973022460938,0.8432278633117676
output/garden_r29_ld1e-4_dt0.1at0.1_denom1e-10_alphadist2_st5.5k_noglo/,/data/nerf_datasets/360/garden,5.00E-01,5.00E-02,1.00E-05,1.00E-04,0,0,4000,output/fl5.00E-01_ffl5.00E-02_fl1.00E-04_ffl1.00E-05_garden_i4000_fs0,26.39920882072906,0.18191112577915192,26.3358097076416,0.828481912612915
output/garden_r29_ld1e-4_dt0.1at0.1_denom1e-10_alphadist2_st5.5k_noglo/,/data/nerf_datasets/360/garden,1.00E-01,1.00E-02,1.00E-05,1.00E-04,0,0,2000,output/fl1.00E-01_ffl1.00E-02_fl1.00E-04_ffl1.00E-05_garden_i2000_fs0,26.636619942442373,0.17491407692432404,26.566587448120117,0.8379663825035095
output/garden_r29_ld1e-4_dt0.1at0.1_denom1e-10_alphadist2_st5.5k_noglo/,/data/nerf_datasets/360/garden,1.00E-01,1.00E-02,1.00E-05,1.00E-04,0,0,10000,output/fl1.00E-01_ffl1.00E-02_fl1.00E-04_ffl1.00E-05_garden_i10000_fs0,26.786571750898055,0.16389445960521698,26.69355583190918,0.8441279530525208
output/garden_r29_ld1e-4_dt0.1at0.1_denom1e-10_alphadist2_st5.5k_noglo/,/data/nerf_datasets/360/garden,1.00E-01,1.00E-02,1.00E-05,1.00E-04,0,0,14000,output/fl1.00E-01_ffl1.00E-02_fl1.00E-04_ffl1.00E-05_garden_i14000_fs0,26.822568516515812,0.16143260896205902,26.72135353088379,0.8453739285469055
