dataset_path,decimate_count,decimate_interval,decimate_start,decimate_threshold,densify_interval,density_offset,gpu_id,image_folder,iterations,lambda_dist,lambda_edge_length,lambda_opacity,lambda_ssim,lambda_ssim_bw,n_interior_vertices,n_tets,n_vertices,noise_lr,output_folder,output_path,psnr,test_LPIPS,test_PSNR,test_SSIM
/optane/nerf_datasets/360/bicycle,0,1000,3000,0.0,200,-3,3,images_4,4000,0.0,0.0,0.0,0.0,0.5,2000000,12920286,2000000,0.0,output/bicycle_ifimages_4_i4000_lel0.0_dc0_ds3000_di1000_di200_nl0.0_dt0.0_lo0.0_do-3_ld0.0_lsb0.5_ls0.0,output/bicycle_v14,21.547872996903756,0.3905327618122101,23.65020751953125,0.681386411190033
/optane/nerf_datasets/360/bicycle,0,1000,3000,0.0,200,-3,1,images_4,4000,0.0,0.0,0.0,0.0,0.3,2000000,12924414,2000000,0.0,output/bicycle_ifimages_4_i4000_lel0.0_dc0_ds3000_di1000_di200_nl0.0_dt0.0_lo0.0_do-3_ld0.0_lsb0.3_ls0.0,output/bicycle_v14,21.480477641804015,0.40135833621025085,22.298480987548828,0.6613755226135254
/optane/nerf_datasets/360/bicycle,0,1000,3000,0.0,200,-3,2,images_4,4000,0.0,0.0,0.0,0.0,0.4,2000000,12934855,2000000,0.0,output/bicycle_ifimages_4_i4000_lel0.0_dc0_ds3000_di1000_di200_nl0.0_dt0.0_lo0.0_do-3_ld0.0_lsb0.4_ls0.0,output/bicycle_v14,21.452397477307855,0.3921228349208832,23.503808975219727,0.6793063282966614
/optane/nerf_datasets/360/bicycle,0,1000,3000,0.0,200,-3,0,images_4,4000,0.0,0.0,0.0,0.0,0.2,2000000,12919415,2000000,0.0,output/bicycle_ifimages_4_i4000_lel0.0_dc0_ds3000_di1000_di200_nl0.0_dt0.0_lo0.0_do-3_ld0.0_lsb0.2_ls0.0,output/bicycle_v14,21.174204128108958,0.40172141790390015,23.426376342773438,0.6604102849960327
