alpha_threshold,contrib_threshold,density_threshold,gpu_id,iterations,output_folder,psnr,test_LPIPS,test_PSNR,test_SSIM
0.1,0.01,0.1,0,10000,output/ct0.01_at0.1_dt0.1_i10000,25.855294737459445,0.19268620014190674,25.791982650756836,0.8186132311820984
0.1,0.025,0.1,0,10000,output/ct0.025_at0.1_dt0.1_i10000,25.83881703558256,0.19258664548397064,25.76936912536621,0.8164159655570984
0.1,0.05,0.1,0,10000,output/ct0.05_at0.1_dt0.1_i10000,25.835424925725068,0.19217605888843536,25.853872299194336,0.8185648322105408
0.2,0.01,0.1,0,10000,output/ct0.01_at0.2_dt0.1_i10000,25.864646986820173,0.1912384033203125,25.855722427368164,0.8192700743675232
0.5,0.01,0.1,0,10000,output/ct0.01_at0.5_dt0.1_i10000,25.813303599394864,0.19188344478607178,25.7647762298584,0.8185880780220032
1,0.01,0.1,0,10000,output/ct0.01_at1_dt0.1_i10000,25.859698204902156,0.1919674426317215,25.947860717773438,0.8192150592803955
0.1,0.01,0.2,0,10000,output/ct0.01_at0.1_dt0.2_i10000,25.819507440370156,0.19093644618988037,25.939477920532227,0.8194558024406433
0.1,0.01,0.5,0,10000,output/ct0.01_at0.1_dt0.5_i10000,25.783487523378778,0.19079236686229706,25.891395568847656,0.819596529006958
0.1,0.01,1,0,10000,output/ct0.01_at0.1_dt1_i10000,25.78778023991527,0.19031965732574463,25.869108200073242,0.8197660446166992
