gpu_id,iterations,output_folder,psnr,test_LPIPS,test_PSNR,test_SSIM,total_thresh,within_thresh
1,5000,output/i5000_tt0.0125_wt0.5,25.79129999315115,0.2228550910949707,25.96510887145996,0.8071107864379883,0.0125,0.5
1,5000,output/i5000_tt0.0125_wt0.4,25.825160961474573,0.21300186216831207,26.104360580444336,0.8115715384483337,0.0125,0.4
1,5000,output/i5000_tt0.02_wt0.4,25.759233575814886,0.21824418008327484,25.925188064575195,0.8083913922309875,0.02,0.4
2,5000,output/i5000_tt0.02_wt0.3,25.787955287309074,0.20226295292377472,26.03590202331543,0.8154152035713196,0.02,0.3
3,5000,output/i5000_tt0.05_wt0.25,25.781217553772912,0.19623740017414093,26.007919311523438,0.8179848790168762,0.05,0.25
2,5000,output/i5000_tt0.03_wt0.25,25.821140359127412,0.19299925863742828,25.869827270507812,0.8217566013336182,0.03,0.25
3,5000,output/i5000_tt0.025_wt0.25,25.874214969537025,0.19582949578762054,25.996614456176758,0.8215554356575012,0.025,0.25
