cost_threshold,dist_end,dist_start,iterations,lambda_cost,lambda_dist,psnr,test_LPIPS,test_PSNR,test_SSIM
1,10000,0,10000,1.00E-02,1.00E-03,28.806225960437075,0.1840914934873581,29.627071380615234,0.9311648011207581
1,10000,500,10000,1.00E-02,1.00E-03,28.799469983727345,0.18233856558799744,29.54896354675293,0.9320398569107056
1,10000,1000,10000,1.00E-02,1.00E-03,28.79265526364174,0.1831921488046646,29.603574752807617,0.9319025278091431
1,10000,2000,10000,1.00E-02,1.00E-03,28.818446579285933,0.18308471143245697,29.575050354003906,0.9324163198471069
1,1000,500,10000,1.00E-02,1.00E-03,28.736163576364785,0.1863299459218979,29.482877731323242,0.9309067726135254
1,1500,500,10000,1.00E-02,1.00E-03,28.792126896640493,0.18694114685058594,29.530128479003906,0.9302185773849487
1,2500,500,10000,1.00E-02,1.00E-03,28.81183241070873,0.1850001960992813,29.635461807250977,0.9324464797973633
1,5000,500,10000,1.00E-02,1.00E-03,28.856061658876897,0.1821642518043518,29.53700065612793,0.931703507900238
1,8000,500,10000,1.00E-02,1.00E-03,28.75652428183248,0.18242371082305908,29.568540573120117,0.9320764541625977
