test_PSNR,test_SSIM,final_vertices_lr,gpu_id,test_LPIPS,psnr,vertices_lr,output_folder
23.53122329711914,0.6793842911720276,1.00E-06,2,0.3690483868122101,23.470251546641393,5.00E-05,output/vl5.00E-05_fvl1.00E-06
23.590330123901367,0.6838015913963318,5.00E-07,3,0.3673466444015503,23.406518613182225,1.00E-04,output/vl1.00E-04_fvl5.00E-07
23.492958068847656,0.6813539266586304,1.00E-06,1,0.37112492322921753,23.447853050427852,7.50E-05,output/vl7.50E-05_fvl1.00E-06
23.56926727294922,0.6823223829269409,1.00E-06,0,0.3712051808834076,23.35318400999921,1.00E-04,output/vl1.00E-04_fvl1.00E-06
23.5118465423584,0.6789169907569885,5.00E-07,1,0.3682079613208771,23.51779872033489,5.00E-05,output/vl5.00E-05_fvl5.00E-07
23.547710418701172,0.6823970079421997,1.00E-07,2,0.36655235290527344,23.431728111944608,1.00E-04,output/vl1.00E-04_fvl1.00E-07
23.46990394592285,0.6804476380348206,5.00E-07,0,0.37309813499450684,23.500926154407104,7.50E-05,output/vl7.50E-05_fvl5.00E-07
23.50707244873047,0.6804842352867126,1.00E-07,3,0.36882710456848145,23.393653456177724,7.50E-05,output/vl7.50E-05_fvl1.00E-07
23.441423416137695,0.6789968013763428,5.00E-08,2,0.3663632571697235,23.505769058390673,7.50E-05,output/vl7.50E-05_fvl5.00E-08
23.59685516357422,0.6780993938446045,1.00E-07,0,0.36508357524871826,23.483220526139757,5.00E-05,output/vl5.00E-05_fvl1.00E-07
23.612016677856445,0.6824328899383545,5.00E-08,1,0.36468011140823364,23.490158554521642,1.00E-04,output/vl1.00E-04_fvl5.00E-08
23.409984588623047,0.672494649887085,5.00E-08,3,0.3698393702507019,23.528328384225887,5.00E-05,output/vl5.00E-05_fvl5.00E-08
23.525985717773438,0.6800781488418579,5.00E-06,2,0.3732483386993408,23.323007263847654,5.00E-05,output/vl5.00E-05_fvl5.00E-06
23.558443069458008,0.6798315644264221,5.00E-06,0,0.3787928819656372,23.27037924255664,1.00E-04,output/vl1.00E-04_fvl5.00E-06
23.538558959960938,0.679615318775177,5.00E-06,1,0.37533387541770935,23.28034882622225,7.50E-05,output/vl7.50E-05_fvl5.00E-06
23.414819717407227,0.6758508086204529,1.00E-05,3,0.38645926117897034,23.105183369011133,1.00E-04,output/vl1.00E-04_fvl1.00E-05
23.326335906982422,0.6783138513565063,1.00E-05,1,0.37609946727752686,23.25767986564973,5.00E-05,output/vl5.00E-05_fvl1.00E-05
23.0943546295166,0.6768612861633301,1.00E-05,0,0.38058945536613464,23.23706507729367,7.50E-05,output/vl7.50E-05_fvl1.00E-05
