dataset_path,gpu_id,image_folder,output_folder,psnr,test_LPIPS,test_PSNR,test_SSIM
/optane/nerf_datasets/360/bicycle,1,images_4,output/bicycle_ifimages_4_r47,24.341150543228565,0.28000935912132263,25.06011199951172,0.754810631275177
/optane/nerf_datasets/360/flowers,2,images_4,output/flowers_ifimages_4_r47,23.839553006358752,0.3294883072376251,21.560823440551758,0.6291239261627197
/optane/nerf_datasets/360/garden,2,images_4,output/garden_ifimages_4_r47,27.116831401053147,0.1457914263010025,27.040443420410156,0.8539660573005676
/optane/nerf_datasets/360/stump,3,images_4,output/stump_ifimages_4_r47,28.546062190418006,0.2577805817127228,26.57692527770996,0.7770373821258545
/optane/nerf_datasets/360/treehill,3,images_4,output/treehill_ifimages_4_r47,23.60262161731347,0.34941989183425903,22.965877532958984,0.6578223705291748
/optane/nerf_datasets/360/room,1,images_2,output/room_ifimages_2_r47,32.15148190565167,0.28901407122612,30.868558883666992,0.9202249050140381
/optane/nerf_datasets/360/counter,3,images_2,output/counter_ifimages_2_r47,29.803899968092654,0.24228619039058685,28.6035099029541,0.9091029763221741
/optane/nerf_datasets/360/kitchen,1,images_2,output/kitchen_ifimages_2_r47,30.839801099417425,0.15896843373775482,30.76403045654297,0.9245941042900085
/optane/nerf_datasets/360/bonsai,2,images_2,output/bonsai_ifimages_2_r47,31.32384436385592,0.24713176488876343,30.9920711517334,0.9385426640510559
/optane/nerf_datasets/tandt/truck,3,images,output/truck_ifimages_r47,25.994189941851854,0.1620204895734787,24.694419860839844,0.8837110996246338
/optane/nerf_datasets/tandt/train,1,images,output/train_ifimages_r47,25.540495401430785,0.22796198725700378,21.658964157104492,0.8310295939445496
/optane/nerf_datasets/db/drjohnson,2,images,output/drjohnson_ifimages_r47,34.008343548418324,0.3486019968986511,29.300434112548828,0.9066190123558044
/optane/nerf_datasets/db/playroom,3,images,output/playroom_ifimages_r47,34.36696112579095,0.3135623335838318,30.468889236450195,0.913876473903656
