dataset_path,gpu_id,image_folder,output_folder,psnr,test_LPIPS,test_PSNR,test_SSIM
/optane/nerf_datasets/360/stump,3,images_4,output/stump_ifimages_4_r43,28.768486109958282,0.2774868607521057,26.149818420410156,0.761451005935669
/optane/nerf_datasets/360/bicycle,1,images_4,output/bicycle_ifimages_4_r43,24.13066014653155,0.31483933329582214,24.713029861450195,0.7312295436859131
/optane/nerf_datasets/360/treehill,3,images_4,output/treehill_ifimages_4_r43,23.560919456778272,0.38243401050567627,22.863174438476562,0.6402320265769958
/optane/nerf_datasets/360/garden,2,images_4,output/garden_ifimages_4_r43,27.162825323049248,0.16227924823760986,26.66965675354004,0.8420162200927734
/optane/nerf_datasets/360/flowers,1,images_4,output/flowers_ifimages_4_r43,23.677246813950077,0.3477986752986908,21.433984756469727,0.6114485859870911
/optane/nerf_datasets/360/room,3,images_2,output/room_ifimages_2_r43,32.79355447845564,0.28913354873657227,31.08806037902832,0.9181697368621826
/optane/nerf_datasets/360/counter,2,images_2,output/counter_ifimages_2_r43,30.240171707223173,0.24812062084674835,28.768674850463867,0.905976414680481
/optane/nerf_datasets/360/bonsai,3,images_2,output/bonsai_ifimages_2_r43,32.028758582630836,0.2323588877916336,31.553625106811523,0.9418953657150269
/optane/nerf_datasets/360/kitchen,1,images_2,output/kitchen_ifimages_2_r43,31.344685729576234,0.16324476897716522,30.990053176879883,0.9233906269073486
